commercial_id,title,nice_class,description,year,lustrum,duration_in_seconds,source,has_been_transcribed,palette_extracted
ab523b5684dd46c7a42988c8488e69e5_030,L. Manetti & H. Roberts Borotalco,3,"Spot realizzato secondo una struttura piuttosto comune per questo tipo di prodotti: i protagonisti passano le loro giornate intenti a impegnarsi nelle loro professioni, ma dopo si concedono un attimo di relax con il Borotalco Roberts, “perché ti vuoi bene”.",1980,1980_1984,31.0,Spot 80,True,True
5d6de47b40dc4d6981cc52503f579d75_045,Bic Bic Lamarasoio,8,"Ricordatissimo e richiestissimo, un indimenticato Franco Franchi si esibisce in una particolare versione dell’opera di Rossini ribattezzata per l’occasione “Il barbiere di Sicilia” per pubblicizzare il rasoio Bic.",1981,1980_1984,42.0,Spot 80,True,True
556878aabf3e46cc8bee128de69a0988_015,Catarì Pizzette Con Giorgio Bracardi,30,"Pizzette… Piiiiiizzettine Catarì! Tecatà vi regala un altro storico spot con protagonista il celebre Giorgio Bracardi, già  compagno di Renzo Arbore all’interno del programma radiofonico “Alto Gradimento”. I più giovani di voi invece lo ricorderanno all’interno di Striscia la Notizia o in altre innumerevoli apparizioni.",1981,1980_1984,17.0,Spot 80,True,True
fdc6b86e52224076a5077e3f370af224_030,Certosa Galbani Certosa,29,"Spot di inizio anni’80 per una delle crescenze più famose prodotte da Galbani, la Certosa, qui pubblicizzata soprattutto come una garanzia per gli sportivi che vogliono mantenersi in forma.",1981,1980_1984,31.0,Spot 80,True,True
5e1b358ab2634e769b904f8fe95b4d2b_030,Colgate Palmolive Defend Plus Dentifricio,3,"Ci sono due amici. Uno dei due mangia un panino e, mordendolo, esclama “ahi!”. L’amico chiede il motivo di questa espressione di dolore, e il primo gli parla del suo dolore alle gengive. Ecco quindi che il secondo inizia gli consiglia Defend Plus elencandogli tutta una serie di motivi per cui il dentifricio in questione è migliore degli altri. Narra la leggenda che una breve battuta del testo (“Fai un po’ quello che vuoi”) fosse stata ritenuta troppo sgarbata (o controproducente a livello commerciale) per poter andare in onda e venne eliminata dallo spot qualche mese dopo.",1981,1980_1984,31.0,Spot 80,True,True
311c5cf524db4c17bb5c42470e50d19b_030,Consorzio Prosciutto Crudo Parma,29,"Torniamo molto indietro nel tempo per vedere come veniva reclamizzato nei primi anni 80 il prosciutto di Parma, un prodotto simbolo del nostro paese.",1981,1980_1984,31.0,Spot 80,True,True
d50623840b684365ae11efef87515e43_030,Dolma Ciappi Cibo Per Cani,31,"Simpatica pubblicità di inizio anni 80 in cui diversi cani usano il passaparola per far conoscere la bontà e le caratteristiche fortemente nutritive del cibo per cani Ciappi. Che, tra l’altro, oggi è chiamato Chappi.",1981,1980_1984,31.0,Spot 80,True,True
443d3dea424e40f89f6cff33611ed5ed_030,Findus Sofficini,29,"La storica immagine del sorriso col ripieno non è ancora arrivata, ma in questo allegro spot dei Sofficini Findus del 1981 si può notare come il suo tema portante sia proprio il sorriso: è con esso, infatti, che i vari personaggi reagiscono alla vista dei Sofficini portati a tavola.",1981,1980_1984,32.0,Spot 80,True,True
3e8f06f6f80d4b5499179dfa3c79f1f6_030,Galbusera Zalet Biscotti,30,"Ormai tutti abbiamo impressa nella mente la figura del Mago G, ma pochi si ricordano come si presentava nei primissimi spot, prima che Luca Levis lo caratterizzasse con l’immagine che ricordiamo. Infatti inizialmente il Mago G era un personaggio decisamente più clownesco, con tanto di trucco e abbigliamento adatti, senza pattini né carriola. Già presente, invece, il jingle ispirato a “Wordy Rappinghood”.",1981,1980_1984,31.0,Spot 80,True,True
f5e1e86843d649798d985e63586ff504_030,Indesit Elettrodomestici,11,"Per chi non lo sapesse, il boom economico italiano degli anni ’60 deve gran parte del merito alla massiccia produzione industriale di elettrodomestici, di cui il belpaese era all’avanguardia. E fra le principale aziende del settore, Indesit era sicuramente in prima linea, esportando in tutto il mondo le sue lavatrici, frigoriferi, lavastoviglie, eccetera. All’epoca di questo spot (1981), però, Indesit si trovò ad affrontare la peggior crisi della sua storia, culminata nel 1987 con la cessione del gruppo alla Merloni Elettrodomestici.",1981,1980_1984,31.0,Spot 80,True,True
